Name,type,ra,dec,redshift,bands
SN2015bn,{SLSN I-R},11:33:41.57,+00:43:32.2,0.114,{u',g',r',i',z',U,B,V,R,I}
PTF12dam,{SLSN I-R},14:24:46.20,+46:13:48.3,0.107,{u,g,r,z,i,U,B,V}
SN2015L,{TDE},22:02:15.45,$-$61:39:34.6,0.233,{U,B,V}
SN2016eay,{SLSN I-R},12:02:51.71,+44:15:27.4,0.101,{g,r,i,U,B,V,R,I}
SN2017faf,{SN II},17:34:39.98,+26:18:22.0,0.029,{i,z,B,V,R,I}
SN2010gx,{SLSN I},11:25:46.71,$-$08:49:41.4,0.230,{g,r,i,z,u',g',r',i',z',U,B,V,R}
PTF09cnd,{SLSN I-R},16:12:08.94,+51:29:16.1,0.258,{u,g,r,i,U,B,R}
SN2011kg,{SLSN I},01:39:45.51,+29:55:27.0,0.192,{u,g,r,i,z,U,B}
SN2008es,{SLSN II},11:56:49.13,+54:27:25.7,0.202,{U,B,V,R,I}
SN2011ke,{SLSN I},13:50:57.77,+26:16:42.8,0.143,{u,g,r,i,z,U,B,V}
LSQ15abl,{SLSN II},09:40:29.50,$-$04:11:32.3,0.087,{U,B,V}
PTF12mxx,{SLSN I},22:30:16.73,+27:58:22.0,0.330,{u,g,r,i,z,U,B,V}
PS1-10ky,{SLSN I},22:13:37.85,+01:14:23.6,0.956,{g,r,i,z}
iPTF13ajg,{SLSN I-R},16:39:03.95,+37:01:38.4,0.740,{u,g,r,i,z,B,R}
SN2018bsz,{SLSN I},16:09:39.10,$-$32:03:45.7,0.027,{u,g,r,i,z,U,B,V}
PS1-14bj,{SLSN I-R},10:12:08.43,+03:39:19.0,0.522,{g,r,i,z}
PTF12gty,{SLSN I},16:01:15.23,+21:23:17.4,0.177,{g,r,i}
SN2013hy,{SLSN I-R},02:42:32.82,$-$01:21:30.1,0.663,{g,r,i,z}
LSQ14mo,{SLSN I},10:22:41.53,$-$16:55:14.4,0.253,{u,g,r,i,U,R}
PS1-10bzj,{SLSN I},03:31:39.83,$-$27:47:42.2,0.650,{g,r,i,z}
PS1-10awh,{SLSN I-R},22:14:29.83,$-$00:04:03.6,0.908,{g,r,i,z}
PTF10aagc,{SLSN I},09:39:56.92,+21:43:17.1,0.206,{u,g,r,i,U}
PTF10bfz,{SLSN I},12:54:41.27,+15:24:17.0,0.170,{g,r,i,B}
SNLS-06D4eu,{SLSN I},22:15:54.29,$-$18:10:45.6,1.588,{g,r,i,z}
SN2011kf,{SLSN I},14:36:57.53,+16:30:56.6,0.245,{g,r,i,z}
SN2012il,{SLSN I},09:46:12.91,+19:50:28.7,0.175,{g,r,i,z}
DES15E2mlf,{SLSN I},00:41:33.40,$-$43:27:17.2,1.861,{g,r,i,z}
